date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/09/2021,USC,89,CS Northridge,49,24,23.79,24.19,24.19,24.19,24.19,19.76,0,22.72,32,5.32,31.2,18.5,0,24.9,12.39,,,,,,,,,,27.3
11/09/2021,Utah,70,Abilene Christian,56,10,7.84,9.84,9.84,9.84,9.84,-0.27,0,9.15,5,3.12,8.87,8.5,0,7.7,5.23,,,,,,,,,,10.5
11/09/2021,Utah St.,69,UC Davis,72,11.5,14.64,11.27,11.27,11.27,11.27,11.63,0,16.14,22,3.92,19.76,12.7,0,19.2,12.62,,,,,,,,,,16.5
11/09/2021,VA Commonwealth,57,St. Peter's,54,9,14.55,14.5,14.5,14.5,14.5,14.14,0,11.48,19,2.68,20.28,11.1,0,14.5,13.65,,,,,,,,,,12.5
11/09/2021,Valparaiso,61,Toledo,69,-4.5,-2.69,-1.52,-1.52,-1.52,-1.52,-3.37,0,-6.21,-3,2.66,-7.6,-3.8,0,-3.2,3.11,,,,,,,,,,-2.1
11/09/2021,Villanova,91,Mount St. Marys,51,25,24.42,24.77,24.77,24.77,24.77,20.92,-23,26.28,24,1.6,26.28,22,0,25,23.77,,,,,,,,,,25.7
11/09/2021,Virginia,58,Navy,66,15.5,17.8,19.49,19.49,19.49,19.49,16.69,-14.5,19.69,18,2.59,17.51,13.3,0,19.5,12.03,,,,,,,,,,18.9
11/09/2021,Virginia Tech,82,Maine,47,27,24.72,25.12,25.12,25.12,25.12,21.55,-26,26.19,24,3.26,31.38,21.9,0,21.6,20.2,,,,,,,,,,29.3
11/09/2021,Wagner,77,Hartford,59,4.5,1.88,2.25,2.25,2.25,2.25,3.95,-5,1.56,-1,1.64,0.86,3.3,0,-1.3,3.29,,,,,,,,,,2.9
11/09/2021,Washington,64,Northern Illinois,71,18.5,16.64,17.87,17.87,17.87,17.87,7.87,0,13.61,14,4.09,23.1,13.3,0,15.9,18.48,,,,,,,,,,21.9
11/09/2021,Washington St.,85,Alcorn St.,67,28,23.56,24.28,24.28,24.28,24.28,24.91,-26,25,23,3.32,30.89,18,0,20.7,18.91,,,,,,,,,,24.2
11/09/2021,West Virginia,60,Oakland,53,17.5,20.06,20.71,20.71,20.71,20.71,7.76,0,19.71,22,4.84,27.7,16.5,0,24.4,17.56,,,,,,,,,,22.3
11/09/2021,Western Carolina,79,Bowling Green,71,-9,-4.46,-3.81,-3.81,-3.81,-3.81,-13.61,0,-3.99,-4,3.64,-4.1,-0.9,0,0.7,-3.5,,,,,,,,,,-8.9
11/09/2021,Western Kentucky,79,Alabama St.,74,25,25.12,23.25,23.25,23.25,23.25,16.04,-26,26.2,28,4.34,32.72,23.2,0,23.5,29.62,,,,,,,,,,29.2
11/09/2021,Wichita St.,60,Jacksonville St.,57,8.5,12.58,15.11,15.11,15.11,15.11,3.88,0,12.45,9,3.55,15.37,11.4,0,15.2,9.81,,,,,,,,,,13.4
11/09/2021,Wisconsin,81,St. Francis-NY,58,24,23.38,24.44,24.44,24.44,24.44,16.21,-25,23.78,26,3.93,30.64,19.1,0,26.2,18.16,,,,,,,,,,22.7
11/09/2021,Wisconsin-Green Bay,77,Indiana St.,81,-2.5,-4.72,-3.63,-3.63,-3.63,-3.63,-6.49,0,-4.94,-4,1.79,-9.33,-5.2,0,-2.9,-3.63,,,,,,,,,,-5.6
11/09/2021,Xavier,63,Niagara,60,17,19.72,22.65,22.65,22.65,22.65,15.36,0,18.34,21,3.61,21.49,13.3,0,20.6,13.77,,,,,,,,,,22.2
11/10/2021,Central Florida,69,Robert Morris,59,16.5,17.51,17.94,17.9,18.11,17.41,24.77,0,14.21,18,3.64,22.33,13.8,0,13.8,12.35,,,,,,,,,,19.5
11/10/2021,DePaul,97,Coppin St.,72,25,19.25,19.12,19.36,19.41,18.31,20.96,-22.5,19.99,17,3.84,27.74,11,0,19.4,16.81,,,,,,,,,,21.9
11/10/2021,Florida St.,105,Pennsylvania,70,19.5,17.94,17.77,17.75,17.96,17.27,15.44,0,14.77,20,2.6,23.14,14.7,0,16,19.52,,,,,,,,,,21
11/10/2021,Idaho,89,Long Beach St.,95,-7.5,-3.72,-3.94,-3.92,-4.03,-3.69,-5.1,0,-5.07,-5,2.64,-6.93,-5.8,0,-0.6,-3.71,,,,,,,,,,3.1
11/10/2021,Kansas St.,67,Florida A&M,57,16.5,16.62,19.9,19.86,20.1,19.31,13.81,-17,16.35,13,2.78,16.43,12.6,0,14.5,15.74,,,,,,,,,,17.9
11/10/2021,Michigan,88,Buffalo,76,12.5,14.63,14.44,14.43,14.59,14.05,2.41,0,16.8,18,4.39,18.34,16.7,0,17.9,11.13,,,,,,,,,,16.8
11/10/2021,Mississippi St.,75,North Alabama,49,19,19.88,21.1,21.06,21.31,20.47,17.86,0,22.07,18,2.64,22.25,14.6,0,19.5,16.61,,,,,,,,,,23.7
11/10/2021,New Mexico,99,Florida Atlantic,92,0,-1.6,0.84,0.85,0.81,0.93,-2.72,0,0.86,-7,3.22,-7.21,-0.4,0,1.3,-4.92,,,,,,,,,,-2.5
